1619-4500,20
0149-1423,35
1550-7416,40
1530-9932,25
1532-8813,15
0001-3072,20
0942-8925,20
0025-5858,20
1012-8255,15
1069-6563,35
1040-2446,40
1876-2859,35
1042-9670,25
1076-6332,25
1941-6520,50
0001-4273,50
1537-260X,40
1558-9080,40
0363-7425,50
0044-586X,25
0001-4575,40
0898-9621,20
0001-4788,25
0810-5391,20
0951-3574,20
0888-7993,25
0361-3682,45
0001-4826,45
0001-4842,50
0949-1775,20
0889-325X,25
0889-3241,30
0360-0300,50
1550-4832,20
0146-4833,30
0362-1340,20
1549-6325,25
1544-3558,25
1544-3566,15
1556-4665,25
1529-3785,40
0734-2071,25
1073-0516,30
0362-5915,30
1084-4309,20
1539-9087,15
0730-0301,50
1094-9224,25
1046-8188,25
2157-6904,50
1533-5399,25
1556-4681,40
0098-3500,50
1049-3301,25
1551-6857,25
0164-0925,25
1936-7406,20
1550-4859,40
1049-331X,35
1553-3077,15
1559-1131,40
1063-7710,20
0814-6039,15
1585-1923,15
1944-8244,40
2155-5435,40
1554-8929,35
1948-7193,40
2156-8952,30
2161-1653,45
1948-5875,35
1936-0851,45
2168-0485,40
2161-5063,40
1091-5397,15
1610-1928,20
0001-5113,15
0906-4702,20
0906-4710,20
0139-3006,15
0001-5172,25
0167-8019,25
0065-1036,20
0094-5765,35
0001-5237,30
1672-9145,20
0001-527X,15
1726-569X,15
0001-5296,20
0236-5383,15
1742-7061,45
0325-2957,15
0001-5342,15
0102-3306,20
0365-0588,20
1253-8078,15
0187-7151,15
0001-5385,15
1011-6842,15
0583-6050,15
0567-7351,15
1318-0207,20
1508-1109,25
0001-5415,15
0001-5458,15
1233-2356,15
0102-8650,15
1784-3286,15
0353-9466,15
0108-7673,30
0108-7681,30
0108-2701,15
1399-0047,45
1744-3091,15
0001-5555,40
1330-027X,15
0940-5429,20
1841-0987,15
0374-1036,20
0873-9749,20
0001-5644,15
2213-5812,15
1214-9705,20
1581-6613,15
0001-5709,20
1000-9515,20
1895-6572,20
1861-1125,30
1854-0171,15
0001-5792,15
1827-9635,15
0065-1281,15
0044-5991,15
1318-0185,15
0137-1592,20
0001-5903,15
1216-8076,15
1359-6454,45
0001-5962,50
0236-5294,15
0252-9602,25
1439-8516,20
0168-9673,15
0001-5970,30
0567-7718,25
0894-9166,20
0393-6384,15
0386-300X,15
1646-0758,15
0412-1961,20
1006-7191,20
0894-0525,15
1217-8950,15
0798-4545,15
1335-1788,15
2075-8251,15
0065-1400,15
0001-6268,25
0300-9009,15
0001-6314,25
0001-6322,45
1601-5215,15
0962-4929,50
0001-6349,30
0253-505X,15
0001-6357,20
1146-609X,25
0001-6373,15
1509-409X,15
0284-186X,25
1755-375X,30
0001-6454,35
1745-3674,35
0001-6462,15
1017-995X,20
1413-7852,15
0001-6489,20
0392-100X,25
0803-5253,30
0567-7920,35
1230-2821,15
0103-2100,15
1000-0569,30
1330-0075,20
1671-4083,30
0587-4246,15
0587-4254,15
1000-3290,15
0323-0465,35
1000-6818,15
0137-5881,25
1748-1708,35
0231-424X,15
0001-6810,30
0001-6837,15
1000-3304,15
1785-8860,15
0065-1583,15
0001-690X,40
0001-6918,30
0284-1851,25
0303-464X,15
1678-0345,15
1644-0692,15
1807-8621,20
1806-2563,20
0001-6977,20
0001-6993,30
0001-7051,25
0001-706X,35
0001-7213,20
0236-6290,20
0044-605X,35
0567-8315,15
0001-723X,15
0001-7272,25
1217-8837,15
0324-0770,15
1139-9287,15
0210-4806,15
0335-5322,15
1476-7503,20
0360-1293,15
0964-5284,25
1551-9899,15
1570-8705,35
1280-8571,15
0736-5829,25
1059-7123,20
0965-2140,45
1355-6215,40
1606-6359,25
0306-4603,35
0214-4840,15
0095-3997,20
0894-587X,40
0364-3107,20
0001-8368,35
0001-8392,45
0263-6174,15
0929-5607,25
0741-7136,25
0924-3046,20
0963-6935,15
0169-409X,50
1614-6832,45
1474-0346,35
1438-1656,25
1616-301X,45
