2353-4362,14
1506-5790,8
2299-7164,7
2081-3678,2
0065-0927,8
0065-0951,14
1234-4125,14
1898-8091,6
1234-950X,10
0001-5229,11
0065-0986,9
0860-6102,11
2082-1867,8
0065-1044,14
1230-3976,9
1234-5563,12
1643-3912,3
1895-5738,7
1509-5703,6
1730-9980,4
2300-3022,6
1230-7777,7
0065-1249,11
1897-5100,5
0001-5814,14
2082-4459,6
2300-5599,8
2083-4373,6
1898-4088,14
0001-625X,14
1509-1619,8
1730-7503,12
0001-6594,14
0065-1524,8
1899-2358,12
2299-9981,5
1427-549X,13
1644-0749,9
1644-0625,11
1644-065X,6
1644-0668,8
1644-0676,4
1644-0765,10
1644-0722,6
1644-0684,6
1644-0730,15
1644-0714,10
1644-0633,11
1644-0757,15
2300-1739,7
2080-5497,7
1427-969X,6
1427-9665,6
1427-9681,8
0208-6018,14
0208-600X,8
1730-2366,6
0208-6050,8
1731-8025,8
1427-9711,3
1508-1117,8
0208-6069,4
0860-7435,4
0208-6077,4
1505-9057,12
1505-9065,6
0208-6107,6
0860-6587,8
0860-1232,7
1689-8966,5
0137-6616,3
2080-0339,7
0137-1150,13
0860-0716,12
2084-252X,4
0524-4544,7
2299-6060,13
1896-9461,11
2083-9782,6
2300-0783,6
1896-0049,8
0867-5953,5
1898-942X,5
2300-715X,5
2081-8580,5
0137-4478,6
1730-2439,11
2080-4075,9
1234-0278,6
2299-4157,11
2083-1587,10
0208-6220,10
1898-763X,4
1641-9227,7
2299-744X,4
1641-5728,3
1427-3101,9
2392-1420,6
1731-9404,3
2353-818X,7
1734-7572,6
0867-4361,13
1642-4530,7
2300-8164,6
1896-3102,2
1506-8900,7
2082-8993,11
1642-5758,13
2084-4409,8
0209-0864,12
2084-2147,5
1509-0957,7
1509-4650,4
1734-9923,10
1898-0732,8
0301-7966,9
0860-5734,8
0303-4135,5
0208-5607,8
1427-440X,9
1643-6539,2
1895-0620,8
0860-2107,9
1731-6170,7
1734-4557,7
0137-6861,5
0365-1118,9
0239-426X,6
1428-9512,12
0458-4317,7
1233-2127,6
0137-1983,9
0066-2232,9
1732-1360,6
0239-4243,7
0137-2025,8
0365-1029,8
0459-9586,11
0867-2040,8
1732-1352,7
2081-1861,7
2082-0917,3
2084-5456,7
2299-2103,3
1689-9911,6
2083-1765,8
2081-3333,7
2449-5239,3
2083-7267,4
2082-0909,5
2080-9751,5
2081-3325,7
2083-7275,8
2081-3341,5
2081-1853,8
2081-545X,7
2353-4583,6
2084-5596,6
2081-6642,8
1899-2226,10
2299-0631,15
1898-8784,7
1898-6730,10
1898-8830,12
1898-8857,14
1898-5912,10
1899-5942,4
1640-8632,13
2353-6306,3
1898-6773,15
1730-9549,7
1898-5203,3
